Sor-szám,Technikai szám,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
88.,2271,KRISZTUS KÖZPONTÚ EGYHÁZ SZÍVBUNKER KERESZTÉNY MISSZIÓ ÉS GYÜLEKEZET,1071 BUDAPEST DAMJANICH UTCA 9. VI.em. 2.ajtó,"1,306,416",165,"439,871"
89.,0705,KRISZTUS MAGYARORSZÁGI GYÜLEKEZETE,1097 BUDAPEST DRÉGELY UTCA 6-8/B. VI.EM.em. 6.ajtó,"2,693,059",238,"628,632"
90.,0626,KRISZTUS SZERETETE EGYHÁZ,1203 BUDAPEST TÖRÖK FLÓRIS UTCA 70.,"10,422,998","1,299","445,770"
91.,0671,KRISZTUSBAN HÍVŐ NAZARÉNUS GYÜLEKEZETEK,1134 BUDAPEST CSÁNGÓ U 18/C,"18,922,445","2,697","389,784"
92.,2879,KUNSÁGI REMÉNYSÉG KERESZTÉNY EGYESÜLET,6400 KISKUNHALAS VEZÉR UTCA 3.,"1,351,292",131,"573,067"
93.,2367,KÚTFŐ GYÜLEKEZET EGYESÜLET,4543 LASKOD ARANY JÁNOS UTCA 1.,"1,401,254",217,"358,744"
94.,0437,LECTORIUM ROSICRUCIANUM AZ ARANY RÓZSAKERESZT NEMZETKÖZI ISKOLÁJA EGYESÜLET,2528 ÚNY ÚJTELEP HRSZ 94/5.,"6,552,291",632,"575,975"
95.,2329,LIGMINCHA MAGYARORSZÁG - BÖN BUDDHISTA EGYESÜLET,1114 BUDAPEST ESZÉK UTCA 18.,"3,369,413",311,"601,896"
96.,0152,MAGYAR APOSTOLI EGYHÁZ,1016 BUDAPEST DEZSŐ UTCA 12/B.,"8,631,916","1,601","299,532"
97.,2697,MAGYAR ATLASZ TÁRSASÁG EGYESÜLET,1164 BUDAPEST MAGTÁR UTCA 60-62.,"2,878,649",306,"522,631"
98.,2659,MAGYAR ÉSZAKI TRADÍCIÓ SPIRITUÁLIS KÖZÖSSÉG,8000 SZÉKESFEHÉRVÁR PRÓNAI UTCA 22/B. 2.A.ajtó,"3,437,801",330,"578,754"
99.,1098,MAGYAR EVANGÉLIUMI EGYESÜLET,1068 BUDAPEST KIRÁLY UTCA 80. FSZT.em. 11.ajtó,"11,277,216","1,297","483,047"
100.,2350,MAGYAR EVANGÉLIUMI GYÜLEKEZETEK EGYHÁZA,2451 ERCSI HADAK ÚTJA 38.,"8,567,888",820,"580,480"
101.,0554,MAGYAR ISZLÁM KÖZÖSSÉG,1141 BUDAPEST PASKÁL ÚT 60.,"20,510,880","2,139","532,722"
102.,0011,MAGYAR KATOLIKUS EGYHÁZ,1071 BUDAPEST VÁROSLIGETI FASOR 45,"8,375,797,869","923,590","503,819"
103.,0138,MAGYAR PÜNKÖSDI EGYHÁZ,1143 BUDAPEST GIZELLA U. 37,"64,416,312","8,929","400,793"
104.,0877,MAGYAR TAOISTA EGYHÁZ,1181 BUDAPEST CSONTVÁRY KOSZTKA TIVADAR UTCA 5. VIII.em. 48.ajtó,"30,915,260","2,615","656,793"
105.,0767,MAGYAR VAISNAVA HINDU MISSZIÓ,7621 PÉCS PERCZEL MIKLÓS UTCA 26. I.em. 4.ajtó,"5,787,006",595,"540,337"
106.,0107,MAGYARORSZÁGI AUTONÓM ORTHODOX IZRAELITA HITKÖZSÉG,1074 BUDAPEST DOB UTCA 35,"4,120,165",389,"588,427"
107.,0310,MAGYARORSZÁGI BAHÁ' Í KÖZÖSSÉG,1053 BUDAPEST FERENCIEK TERE 3. II.em. 4.ajtó,"7,700,989",617,"693,408"
108.,0286,MAGYARORSZÁGI BAPTISTA EGYHÁZ,1063 BUDAPEST MUNKÁCSY MIHÁLY UTCA 1.,"642,074,045","64,016","557,217"
109.,0372,MAGYARORSZÁGI BOLGÁR ORTODOX EGYHÁZ,1097 BUDAPEST VÁGOHID U 15,"16,470,904","1,224","747,590"
110.,2752,MAGYARORSZÁGI CSELEKVŐ GONDOLAT KÖZÖSSÉGE,4173 NAGYRÁBÉ KISTORONY UTCA 23.,"2,408,751",228,"586,928"
111.,2439,MAGYARORSZÁGI DRIKUNG KAGYÜ BUDDHISTA EGYHÁZ,8353 ZALASZÁNTÓ VILÁGOSVÁR UTCA 13.,"34,749,099","3,341","577,823"
112.,1706,MAGYARORSZÁGI DRUKPA KAGYÜ BUDDHISTA KÖZÖSSÉG,1111 BUDAPEST VAK BOTTYÁN UTCA 6.,"13,296,944","1,226","602,544"
113.,0035,MAGYARORSZÁGI EVANGÉLIKUS EGYHÁZ,1085 BUDAPEST ÜLLÖI UT 24,"1,138,216,928","114,617","551,701"
114.,0444,MAGYARORSZÁGI EVANGÉLIUMI TESTVÉRKÖZÖSSÉG,1086 BUDAPEST DANKÓ UTCA 11.,"2,017,270,256","164,803","680,027"
115.,2903,MAGYARORSZÁGI HINDU SIVA SHAKTI SADHANA KENDRA KÖZÖSSÉGÉNEK EGYHÁZA,1073 BUDAPEST DOB UTCA 106. 3.EMELET.em. 30.AJTÓ.ajtó,"6,255,069",546,"636,454"
116.,0406,MAGYARORSZÁGI JEHOVA TANÚI EGYHÁZ,1163 BUDAPEST KÖVIRÓZSA U. 1,"124,126,819","17,982","383,491"
117.,0059,MAGYARORSZÁGI KARMA-KAGYÜPA KÖZÖSSÉG,1039 BUDAPEST HUNYADI U 45,"75,373,447","7,393","566,403"
118.,2264,MAGYARORSZÁGI KERESZTYÉN TESTVÉR GYÜLEKEZETEK,1066 BUDAPEST Ó UTCA 16.,"7,603,118",801,"527,335"
119.,1201,MAGYARORSZÁGI KÍNAI CHANBUDDHISTA EGYHÁZ,1164 BUDAPEST RÁDIÓ U. 12/A,"8,631,176","1,325","361,894"
120.,2776,MAGYARORSZÁGI KÍNAI HUAYAN BUDDHISTA EGYHÁZ,1161 BUDAPEST PÁL UTCA 74.,"4,995,515",510,"544,174"
121.,1397,MAGYARORSZÁGI KOPT ORTODOX EGYHÁZ,1185 BUDAPEST SELMECBÁNYA ÚT 68,"6,486,897",624,"577,537"
122.,0389,MAGYARORSZÁGI KRISNA-TUDATÚ HÍVŐK KÖZÖSSÉGE,1039 BUDAPEST LEHEL U 15-17,"1,194,458,976","119,351","555,997"
123.,0073,MAGYARORSZÁGI METODISTA EGYHÁZ,1032 BUDAPEST KISCELLI U 73,"27,673,180","2,924","525,786"
124.,1050,MAGYARORSZÁGI MUSZLIMOK EGYHÁZA,1119 BUDAPEST FEHÉRVÁRI ÚT 41.,"23,392,202","2,116","614,162"
125.,2532,MAGYARORSZÁGI MUSZLIMOK KULTURÁLIS ÉS VALLÁSI EGYESÜLETE,1074 BUDAPEST RÁKÓCZI ÚT 86.,"3,944,208",461,"475,320"
126.,2161,MAGYARORSZÁGI NAGY KELETI ARANY NAP BUDDHISTA KÖZÖSSÉG VALLÁSI EGYESÜLET,1111 BUDAPEST KRUSPÉR UTCA 10. 6.ajtó,"6,754,787",766,"489,903"
127.,0066,MAGYARORSZÁGI REFORMÁTUS EGYHÁZ ,1146 BUDAPEST ABONYI U 21,"3,708,379,353","398,794","516,610"
128.,2556,MAGYARORSZÁGI REMÉNYSÉG EGYHÁZ,4002 DEBRECEN KÜLSŐ SÁMSONI ÚT 93.,"3,055,798",381,"445,582"
129.,0293,MAGYARORSZÁGI ROMÁN ORTODOX EGYHÁZ ,5700 GYULA SZT. MIKLÓS PARK 2,"14,985,221","1,563","532,637"
130.,2446,MAGYARORSZÁGI SZABAD ÖKUMENIKUS KÖZÖSSÉG,2027 DÖMÖS VÖRÖSHEGYI UTCA 18/A.,"12,059,487","1,324","506,021"
131.,0114,MAGYARORSZÁGI SZCIENTOLÓGIA EGYHÁZ,1138 BUDAPEST VÁCI ÚT 169.,"24,084,475","3,449","387,946"
132.,0200,MAGYARORSZÁGI UNITÁRIUS EGYHÁZ,1055 BUDAPEST NAGY IGNÁC UTCA 2-4.,"68,300,087","5,593","678,428"
133.,2972,MAGYARORSZÁGI XUYUN BUDDHISTA CHAN KÖZPONTI VALLÁSI EGYESÜLET,1153 BUDAPEST BELLER IMRE ÚT 123.,"4,988,553",371,"747,013"
134.,0358,MAGYARORSZÁGI ZSIDÓ HITKÖZSÉGEK SZÖVETSÉGE,1075 BUDAPEST SIP U. 12,"190,527,237","15,319","690,962"
135.,2099,MEGÚJULT PÜNKÖSDI ROMA HITKÖZÖSSÉG KERESZTÉNY EGYESÜLET,4242 HAJDÚHADHÁZ PALLAGI UTCA 29.,"1,374,465",181,"421,874"
136.,1139,MEZŐKÖVESDI TELJESEVANGÉLIUMI KERESZTÉNY GYÜLEKEZET EGYESÜLET,3400 MEZŐKÖVESD KOSZTOLÁNYI UTCA 10.,"3,749,294",351,"593,431"
137.,2491,MISSZIÓ AZ ELVESZETTEKÉRT EGYESÜLET,1171 BUDAPEST KECSKEFŰZ UTCA 2.,"7,964,915",882,"501,695"
138.,2989,MOSONMAGYARÓVÁRI EVANGÉLIUMI KERESZTÉNY GYÜLEKEZET,9200 MOSONMAGYARÓVÁR ZRÍNYI MIKLÓS UTCA 18.,"2,272,007",203,"621,786"
139.,1067,MYRAI VALLÁSI KÖZHASZNÚ EGYESÜLET,1146 BUDAPEST THÖKÖLY ÚT 44.,"1,706,761",175,"541,829"
140.,1782,NAGYBOLDOGASSZONY SZERETET EGYESÜLET,1215 BUDAPEST TÁNCSICS MIHÁLY UTCA 46. 2.em. 8.ajtó,"7,255,485",852,"473,102"
141.,2714,NAGYOBB KEGYELEM EGYESÜLET,7030 PAKS DÓZSA GYÖRGY ÚT 63-73.,"513,556",62,"460,176"
142.,1177,NANDAFALVA EGYESÜLET,6764 BALÁSTYA TANYA UTCA 368.,"7,355,598",862,"474,065"
143.,1074,NÁZÁRETI EGYHÁZ,1149 BUDAPEST EGRESSY ÚT 100.,"3,077,244",368,"464,560"
144.,0884,NÉGYSZEGLETKŐ APOSTOLI HIT NEMZETKÖZI EGYHÁZ,1188 BUDAPEST RÁKÓCZI UTCA 23.,"294,528",25,"654,507"
145.,2587,NIWA EGYHÁZ VALLÁSI EGYESÜLET,2094 NAGYKOVÁCSI SZENT FLÓRIÁN UTCA 16.,"399,760",41,"541,680"
146.,2642,NYÍRSÉGI REMÉNYSÉG HÁZA VALLÁSI EGYESÜLET,4341 NYÍRVASVÁRI HAJNAL UTCA 32.,"4,701,586",420,"621,903"
147.,2343,NYITOTT TUDAT BUDDHISTA KÖZÖSSÉG,1027 BUDAPEST MARGIT KÖRÚT 44. IV.EM.em. I/A.ajtó,"37,622,709","3,517","594,299"
148.,0509,NYÚJTSD KI KEZED KRISZTUSÉRT SZERETET GYÜLEKEZET  R.O.F.C. SZERETET EGYESÜLET,2921 KOMÁROM PETŐFI SÁNDOR ÚT 133.,"896,777",109,"457,073"
