Sorszám,Adószám,,,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
118,18547285,2,9,A DEBRECENI GÖRÖG KATOLIKUS EGYHÁZÉRT ALAPITVÁNY,4024 DEBRECEN SZENT ANNA UTCA 53.,"1,758,455",126,"775,333"
119,18550263,1,9,A DEBRECENI KONZERVATÓRIUM ÜTŐSEIÉRT ALAPÍTVÁNY,4032 DEBRECEN NAGYERDEI KÖRÚT 82.,"73,034",4,"1,014,361"
120,18558780,1,9,A DEBRECENI LELKÉSZKÉPZÉSÉRT ALAPÍTVÁNY,4026 DEBRECEN KÁLVIN TÉR 16,"36,865",4,"512,014"
121,18996809,1,9,A DEBRECENI MELLKASSEBÉSZETÉRT ALAPÍTVÁNY,4032 DEBRECEN JERIKÓ UTCA 36. I.em. 14.ajtó,"808,866",55,"817,036"
122,18558821,1,9,A DEBRECENI NYOMDÁSZOKÉRT ALAPITVÁNY,4027 DEBRECEN BÖSZÖRMÉNYI UT 6,"405,253",25,"900,562"
123,18565401,1,9,A DEBRECENI REFORMÁTUS KOLLÉGIUM ÓVODÁJÁÉRT ALAPÍTVÁNY,4026 DEBRECEN KÁLVIN TÉR 17.,"572,504",64,"496,965"
124,18563014,1,9,A Debreceni Sugárkezeltekért Alapítvány,4032 DEBRECEN NAGYERDEI KÖRÚT 98.DEOEC SUGÁRTERÁPIA TANSZÉK.,"908,991",74,"682,426"
125,19309228,1,9,A Debreceni Szivárvány Óvoda Gyermekeiért Alapítvány,4031 DEBRECEN ISTVÁN ÚT 51. 2.em. 20.ajtó,"613,063",61,"558,345"
126,18145656,1,17,A DECSI REFORMÁTUS TEMETŐÉRT ALAPÍTVÁNY,7144 DECS KOSSUTH LAJOS SÁRKÖZI TÁJHÁZ UTCA 34-38.,"174,127",16,"604,608"
127,18435744,1,5,A DÉDESTAPOLCSÁNYI ZENEISKOLÁÉRT ALAPITVÁNY,3643 DÉDESTAPOLCSÁNY HUNYADI UTCA 9.,"318,717",31,"571,177"
128,18870688,1,6,A Dél-Alföldi dobó atlétikáért alapítvány,6723 SZEGED BUDAPESTI KÖRÚT 20. B.lh. 1.em. 5.ajtó,"112,285",13,"479,850"
129,18913581,1,19,A Devecseri Otthonban élő Időskorúak Szociális Ellátásáért Alapítvány,8460 DEVECSER PETŐFI TÉR 5.,"303,747",27,"624,994"
130,19274164,1,20,A Diabetes Betegek Gondjaiért Nagykanizsán Alapítvány,8800 NAGYKANIZSA FABIK K. UTCA 2. 8.a.,"72,522",4,"1,007,250"
131,18063538,1,43,A Diabeteses Vesebetegekért a Diagnózistól a Dialyzisig Alapítvány,1126 BUDAPEST BARTHA UTCA 2. I.em. 1.ajtó,"521,630",34,"852,337"
132,18337598,1,19,A DIAGNOSZTIKA JÖVŐJÉÉRT Alapítvány,8100 VÁRPALOTA BAKONY UTCA 12.,"132,705",8,"921,563"
133,18857687,1,17,A DIÁKOKÉRT ALAPÍTVÁNY,7100 SZEKSZÁRD BÉRI BALOGH ÁDÁM UTCA 89.,"1,091,180",95,"638,117"
134,18735295,1,43,A Digitális Tudásért Alapítvány,1114 BUDAPEST BARTÓK BÉLA ÚT 43-47/C.ÉP. 8.EM.em.,"273,307",18,"843,540"
135,18580239,1,10,A DOMOSZLÓI ÁLTALÁNOS ISKOLÁÉRT ALAPÍTVÁNY,3263 DOMOSZLÓ DEÁK TÉR 5,"219,825",22,"555,114"
136,18331822,1,2,A Dr. Majorossy utcai óvoda gyermekeiért Közhasznú Alapítvány,7621 PÉCS DR MAJOROSSY IMRE U. 10,"417,107",32,"724,144"
137,18632006,2,12,A Drégelypalánki Szent Erzsébet Templomért Alapítvány,2646 DRÉGELYPALÁNK PETŐFI ÚT 1.,"399,669",40,"555,096"
138,18710357,1,13,A DUNAKANYAR EGÉSZSÉGES GYERMEKEIÉRT ALAPÍTVÁNY,2120 DUNAKESZI ÉSZAKI KÖZ 2.,"408,825",27,"841,204"
139,18326103,1,2,A DUNÁNTÚLI LABORATÓRIUMI MEDICINA OKTATÁSÁÉRT ÉS KUTATÁSÁÉRT ALAPÍTVÁNY,7673 CSERKÚT PETŐFI SÁNDOR U. 25,"561,052",12,"2,597,463"
140,19097570,1,7,A DUNAUJVÁROSI EVANGÉLIKUS CENTRUMÉRT ALAPITVÁNY,2400 DUNAÚJVÁROS SZILÁGYI ERZSÉBET UTCA 34.,"167,460",17,"547,255"
141,18489640,1,7,A DUNAÚJVÁROSI FÜL-ORR-GÉGÉSZETI GYÓGYÍTÁSÉRT ALAPÍTVÁNY,2400 DUNAÚJVÁROS KORÁNYI SÁNDOR UTCA 4-6.,"468,085",34,"764,845"
142,18561603,1,9,A DVSC Utánpótlásáért és Szabadidősportjáért Alapítvány,4028 DEBRECEN KASSAI ÚT 32-34,"313,121",38,"457,779"
